title,company,city,contract_type,salary,description,link
Consultant.te technique BI data analyse / Freelance,Club Freelance,Paris (75),-,-,"Contexte: Mon client recherche un(e) consultant(e) profil technique BI en data analyse pour les accompagner sur divers projets en BI Mission: - Examiner le flux de données et les systèmes d'analyse existants - Contrôler les processus de collecte, de stockage, d'analyse et de présentation des données - Concevoir, développer et exécuter de nouvelles analyses des données - Travailler avec de multiples sources de données et bases de données - Construire et vérifier de nouveaux modèles de données qui aident à la prise de décision - Analyser les performances et les processus de l'entreprise - Travailler avec les équipes techniques pour construire/améliorer les techniques d'analyse de données et de business intelligence et créer des reporting. Profil Recherché: - Solide expérience en Analyse Data - Connaissances en SQL, Power BI / Tableau - Expérience communication métier Avantages: - Démarrage ASAP - Mission sur site et télétravail - TJM selon profil Si vous êtes intéressé(e), n'hésitez pas à me contacter aux coordonnées suivantes: Valentin Cochet Talent Acquisition Specialist Data & Business Intelligence +XX XXXXXXXXX XXXXXXX@XXXXXXXXXXXXXXXXXX",https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOan1X6IMiqIgbbWwOszPxrSngx5e5LHRTxTUitDaLR8YIE6HWjiK3nfGjzGy5_N2kCZBXLVa28GalTTuWZaGs482FzWVSrc22_LdtIypW9H0NX7oLdyOZ4jyV-NyyLHpCQDXsZloy8JzDN_cnf1DaRXH4EslFB17f3XshJIY8GzQ-QSOStbABCU6y0bgxG3AU9NFMKiL3DQp9AR9gkzvccVkvUbFfl4V8KK58Oi-zT0OoT5ptddgctCi6a6Ce8XypdJanDLBx59TqaH61kW0PZX9h_7K7GXln9oJAIzTS_7f7Ie70ieBqszokw9I_4Tj0OL1stVhOetBPwLb8W-rt7fz2i9azFKw8lof-qyu1_oq9gB8eSm0AuGBhliD_SsMxPD498HbSF2JYlDikL22chkrr1NgSJguWepKzWtrmKhZ7uNMv1-cMJtpxUbgAx_9IoNHEwci5Hs2AwQqZyWRUGaAKE0YdbgnLRg_NDuD8Hb1PNYYFWd5JzbM9q85ySvFy7HO9-6-lu14NsdlNWs3IWnnxdfWyDvV8GbY6pWTetzBlucmDhVCqFWBYBDbP7wgsozClz-7ubvbExl9qrCsmDT9KfP2dWG6qoY_VLybiV_MlWimncbjnPvTE3TV2mkmS9qdw3gBQpF9S&p=6&fvj=0&vjs=3
Data Analyst Expérimenté H/F - Groupe international en fort développement,Michael Page,Lille (59),-,-,"Rattaché au Database et Analytics Manager au sein de la Direction Marketing et Data Analyse, vous aurez dans un environnement international les principales missions suivantes :

Participer à la mise en place des campagnes omnicanales et temps réel,

Développer des scripts SQL,

Harmoniser les données du Data Hub au niveau international,

Développer les tableaux de bord,

Mettre à jour les reportings et tableaux de bord de suivi de l'activité digitale de notre business,

Réaliser des études d'aide à la décision et les présenter,

Construire des algorithmes prédictifs en utilisant des technologies de Machine Learning (R, Python, Microsoft Azure ML…),

Assurer le support data et analytics auprès des équipes métiers.

Environnement technique à maîtriser :
SAS Macros, SQL, R et/ou Python,

Un outil de data visualisation (DOMO, Tableau, ClickView, Power BI…),

Un outil de web analyse (Universal Analytics, ContentSquare, Eulerian…),

Un outil de Tag Management (Tealium, Tag commander, GTM...).

Vous avez au moins 5 ans d'expérience en tant que Data Analyst dans un environnement marketing.

Vous êtes diplômé de type Bac +5 minimum en statistiques ou data science.

Votre anglais est courant.

Vous avez une réelle passion pour la data, le digital et les nouvelles technologies, vous êtes réactif et efficace au quotidien.

Votre capacité de synthèse et force de conviction seront autant d'atouts pour réussir dans vos fonctions.

Vous faites preuve de capacité d'adaptation, esprit d'équipe, rigueur et curiosité.",https://fr.indeed.com/rc/clk?jk=608eb0741868987e&fccid=77087bd1709a8148&vjs=3
ARCHITECTE Solution Data & Analytics F/H,WEENEO CONSULTING,Marseille 1er (13),-,-,"Descriptif du poste:
En tant qu'architecte pour les sujets d'analyse de données, vous concevez et assurez la livraison de solutions d'architecture logicielle hautement sécurisées, résilientes, évolutives et livrables. Pour ce faire, vous tirez parti de votre expertise dans la modélisation des données, la gouvernance des données, l'intégration des données, la sécurité des données et l'intelligence d'affaires. Votre connaissance de Python vous permet de challenger et d'aider les développeurs en cas de besoin. Votre expérience avec les datamarts vous a appris les best practices pour agréger les données et la meilleure façon de les mettre à la disposition des utilisateurs.
Conformément à la stratégie de l'entreprise en matière de cloud, vous avez de l'expérience dans la conception et le déploiement de solutions en production sur des plates-formes telles qu'AWS.
Les principales missions de l’architecte en charge de la mission de prestation seront notamment :
Veiller en permanence à ce que les évolutions intervenant dans le cadre de la mission respectent la cohérence et la pertinence fonctionnelle de l’ensemble du système d’information et de l’architecture cible.
Piloter et contrôler l’intégration et l’adaptation fonctionnelles des éléments mis en place dans le cadre de la mission.
Assurer un support méthodologique et fonctionnel aux différentes équipes impactées par les éléments mis en place dans le cadre de la mission (données, services,…).
Intégrer en permanence une démarche qualité (mise en œuvre de référentiels de bonnes pratiques, implantation de démarches fondées sur l'amélioration continue).
Profil recherché:
Environnement technique :
QlikSense, Snowflake, Dataiku
Déploiement sur le cloud : AWS de préférence.
Déploiement de Python de niveau production.
Anglais courant
Entreprise:
WEENEO c'est :
 L'esprit d'équipe
 La passion
 La proximité
Si vous croyez en ces valeurs et que vous souhaitez intégrer une entreprise dynamique et ambitieuse, soucieuse de votre bien-être et de vos envies, rejoignez-nous !
#JoinTheTeam",https://fr.indeed.com/rc/clk?jk=d09b5143ba8f6c84&fccid=f843045e8db6a245&vjs=3
RESPONSABLE CONTRÔLE DE GESTION RH / DATA ANALYTICS,Talents & Projets,Lille (59),"Temps plein, CDD",-,"MISSION : *Mission urgente de management de transition de Responsable du Contrôle de gestion RH / Data Analytics sur un périmètre France.Mission de transition pouvant aboutir sur un recrutement à l’issue de la mission.Localisation de la mission basée à Lille.RÔLE ET MISSIONS : Vous ferez l’interface entre la direction des ressources humaines et la direction finance, afin de participer à la mise en place et la coordination du Contrôle de gestion RH, et ce au niveau du groupeVous serez chargé(e) de :Créer la fonction relative au Contrôle de Gestion RH,Collecter, d’analyser et de synthétiser des informations et des données RH et sociales qui permettront à l'entreprise d'optimiser la politique des ressources humaines pour répondre à la stratégie de l'entreprise,Piloter les budgets salariaux, formation, recrutement masse salariale, rémunération, etc…Créer des tableaux de bords et des KPIs complexes,Mettre en place des outils de données RH (data) et BI pertinents,Accompagner le pilotage des évolutions de SIRH.PROFIL : Pour cette mission urgente, nous recherchons des candidat(e)s expérimenté(e)s répondant aux caractéristiques suivantes :Solide expérience soit de Contrôleur de gestion RH, HR Controlling, Responsable reporting RH,Forte connaissance des d’outils d’analyse de données RH,Expérience acquise soit dans de grands groupes soit au sein de cabinet de conseil,Habitué à travailler sur des environnements multi-sites,Forte capacité à mettre en place ce type de fonction en toute autonomie aussi bien sur un plan opérationnel et stratégique,Anglais professionnel exigé,Disponible immédiatement.*Durée du contrat : 6 moisDate de début prévue : 11/10/2021Type d'emploi : Temps plein, CDDHoraires :Périodes de Travail de 8 Heures",https://fr.indeed.com/company/Talents-&-Projets/jobs/Responsable-Contr%C3%B4le-Gestion-Rh-9cb8acb99074e0b2?fccid=7a9b5b950de90079&vjs=3
ANALYSTE DE DONNÉES / SPÉCIALISTE WCL (F/H),RANDSTAD INHOUSE SERVICES CNH,60330 Le Plessis-Belleville, -  CDI,30 000 € par an,"Randstad Inhouse, est un concept unique en France d'agence intérim hébergée au cœur du site de production de nos clients. Forte de plus de 250 agences, nous accompagnons chaque année plus de 65 000 intérimaires.
L'esprit de famille incarne notre ADN : étant chez nos clients aux côtés de nos intérimaires, nous “travaillons en famille”!
Nous rejoindre, c'est également bénéficier de nombreux avantages proposés par notre CE et nos partenaires.

Nous recherchons pour le compte de notre client, un Chef de projet/ Analyste de données sur la méthodologie WCL (F/H).

Le Chef de projet / Analyste de données s'appuie sur la méthodologie WCL pour repenser, d��finir et mettre en oeuvre la stratégie logistique interne et externe du site en lien avec les différents services en interne et les partenaires extérieurs.
Analyse de l'existant, identification des sources d'optimisation, mise en oeuvre et suivi des projets selon la méthode WCL.
Préparation d'audits WCL, mise en oeuvre du masterplan logistique du dépôt...
Horaires de journée du lundi au vendredi.

Vous devez être titulaire d'un Bac+4/5 en école d'ingénieur ou logistique. Sans expérience acceptée.
Esprit analytique et de résolution de problème. Capacité à animer les réunions.
Anglais niveau B1.",https://fr.indeed.com/rc/clk?jk=1d0739ef4146fa7c&fccid=85ac5eea9e86a327&vjs=3
Développeur UX Data Science H/F,DASSAULT SYSTEMES,75020 Paris 20e,CDI,-,"Imaginez demain…

Au sein de l'organisation NETVIBES, vous rejoignez l'équipe PartSupply Data Experiences. Votre mission sera de participer au développement de la nouvelle UX des data sciences de classification & de standardisation en React sur le cloud de DS.

Poste basé à Paris (8ème), en CDI

Vous avez des rêves plein la tête ? Vous aimez le challenge ? Vous avez la passion d'innover, Dassault Systèmes vous aide à changer le monde ! Grâce aux univers virtuels 3DEXPERIENCE, ouvrons ensemble nos horizons.

#react #cloud

Votre contribution et vos missions

En tant que Développeur UX, vous intégrez une équipe de data scientists expérimentés dans le domaine de la classification et de la standardisation des données et vous aurez pour missions de :


Spécifier un paradigme d'UX commun pour ces 2 domaines et compatible avec la 3DExperience plateforme
Développer les composants en React pour offrir une expérience responsive et intégrée

",https://fr.indeed.com/rc/clk?jk=05b054ff209ac43a&fccid=29d37d43c382c8fe&vjs=3
Data Analyst - Analyste Data F/H,KONECRANES France,Lyon 3e (69),-,-,"Descriptif du poste:
Le Lab Data Science recherche u n(e) Data Analyst - Analyste Data H/F talentueux(euse) et motivé(e) afin de compléter l’équipe actuellement en place.
Vous collaborerez avec les utilisateurs finaux pour développer des tableaux de bord interactifs fournissant des informations importantes pour la prise de décision. Vous collecterez les besoins utilisateurs, transformerez des bases de données issues de systèmes complexes, générerez des éléments éclairants et opérationnels et partagerez les résultats avec des parties prenantes à tout niveau de Konecranes.
L’objectif principal de votre mission sera de développer différents cas d’usage analytiques pour aider les différents départements de Konecranes à devenir davantage data-driven.
Vous serez capables de collaborer au quotidien avec des profils d’horizon très différents tels que les data scientists, les interlocuteurs métiers, les data engineers ou encore les machine learning engineers.
Nous recherchons une personne avec un fort esprit d’équipe et avec une première expérience dans le développement de solution de business intelligence et de reporting. Nous utilisons principalement la suite Microsoft (Azure et Power BI notamment).
Reconnu(e) pour votre excellent relationnel, vous avez une capacité à comprendre les process métiers, à identifier les besoins d’interlocuteurs non techniques et de les convertir en visualisations interactives avec des données modélisées en conséquence.
Vous reporterez au Directeur du Lab Data Science.
Principales missions :
Manipuler et structurer des données de manière optimale pour des solutions de reporting,
Designer et développer des tableaux de bord et solutions analytiques automatisés, scalables avec le reste de l’équipe,
Analyser la performance, identifier les tendances issues des données, gérer les problématiques et répondre à des demandes ad hoc,
Maintenir les rapports et tableaux de bord mais aussi identifier de nouvelles opportunités et analyses plus avancées,
Créer de manière proactive des éléments éclairants à partir des données et les communiquer auprès d’interlocuteurs métier non techniques à la fois oralement ou par écrit,
Suivre de manière assidue les technologies de data visualisation, tester et essayer de nouvelles choses, être force de proposition,
Participer à la création de documentation technique et fonctionnelle,
Former les utilisateurs finaux sur l’utilisation des rapports que vous aurez développés.
Profil recherché:
Votre profil :
Diplôme d’études supérieurs (Bac +5 et plus) dans le domaine de la business intelligence, informatique, mathématiques, statistiques ou data science,
1 an minimum d’expérience en extraction, manipulation et modélisation de données pour des rapports BI,
Maitrise du SQL pour la manipulation de larges volumes de données issus de différents systèmes métiers et structuration de la donnée de manière optimale pour la visualisation,
Expérience dans les solutions de data viz telles que Power BI, Tableau, Qlikview,…
Capacité à communiquer des résultats complexes à des audiences techniques ou non techniques,
Bonne compréhension des langages de programmation, notamment Python,
Une première expérience sur Microsoft Azure et Databricks serait un plus,
Bonne communication avec une maitrise impérative de l’anglais (échanges quotidiens),
Capacité à comprendre des besoins métiers et à les transposer en data model et visualisations interactives,
Curiosité,
Qualité relationnelle avec un esprit d’équipe développé mais également la capacité de travailler de manière autonome,
Intérêt pour le domaine de la data science,
Méthodologies agiles (Scrum, Kanban).
Rejoignez-nous !
Vous rejoindrez une équipe Data Science internationale dont la mission est de générer de la croissance et des gains de profit en développant des solutions data-driven. Vous aurez un rôle prépondérant dans la transformation digitale du groupe en ayant l’opportunité de travailler sur de nombreux cas d’usage pour Konecranes. Nous valorisons par ailleurs le développement professionnel de nos membres ainsi que le partage de connaissances au sein de l’équipe.
Entreprise:
Chez Konecranes, nous sommes convaincus qu’une bonne expérience client n’est possible que grâce au personnel qui se cache derrière le nom de Konecranes – un personnel qui s’engage à fournir à nos clients des équipements de levage et des services qui décuplent leurs activités. Tout ce que nous entreprenons, nous le faisons avec passion et persévérance.
Nous croyons que la diversité est le moteur de la réussite des entreprises et constitue le fondement de notre croissance. Nous accueillons des origines et des compétences venant de tous horizons qui enrichissent notre communauté et encourageons un environnement dans lequel nous pouvons TOUS être nous-mêmes. C’est en cela que Konecranes est un employeur unique en son genre.
Le Lab Data Science (DSL) de Konecranes a ouvert ses portes en septembre 2019. L’objectif principal de ce laboratoire de science de la donnée est de valoriser l’ensemble du patrimoine de données du groupe en construisant des solutions d’intelligence artificielle. Aujourd’hui, l’équipe est composée d’une quinzaine de membres avec un focus clair sur l’implémentation de modèles de Machine Learning en production dans l’écosystème de Konecranes. Dans tout ce qu’il entreprend, le Lab Data Science doit résoudre des problématiques métier concrètes et générer un impact business tangible et mesurable. Le Lab Data Science a pour mission d’accélérer les initiatives digitales du groupe, et en particulier au sein de ses trois principales divisions métier (équipement industriel, solutions portuaires et enfin service).
Konecranes a été l’un des pionniers sur le volet des objets connectés avec une flotte de plus de 24 000 équipements connectés à travers le monde qui génère un volume de données très important. Cela offre de nombreuses opportunités en termes d’analyse de données. Améliorer par ailleurs la connaissance de nos clients est un des sujets clés dans notre mission.
Konecranes vous permettra d’intégrer un groupe international avec la possibilité de voir de l’intérieur ce qu’il se passe dans les différentes industries, et en jouant un rôle clé en construisant de nouvelles solutions d’intelligence artificielle pour aider le groupe à continuer de se développer et d’augmenter sa performance et sa profitabilité.",https://fr.indeed.com/rc/clk?jk=e1168570cee44cc2&fccid=f843045e8db6a245&vjs=3
CDI Data Analyst Opérationnel F/H,Ringover,Paris 4e (75),CDI,-,"Descriptif du poste:
Nous recherchons un/une Data Analyst Opérationnel qui travaillerez sur les missions suivantes :
 Extraction et structuration des données :
Extraire les données nécessaires à l’analyse (Web scraping, API…).
Définir des règles de gestion de structuration des différentes bases de données entre elles.
Écrire et rédiger les spécifications d’automatisation des règles de gestion à la direction des systèmes d’information ou à la maîtrise d’ouvrage.
Maîtriser la qualité des données tout au long de leur traitement.
Analyse et exploration des données
Réaliser des tableaux de bord ou des outils de reporting industrialisés.
Construire et tester des modèles statistiques (régression, forêt aléatoire…).
Déterminer ou construire les variables importantes à introduire dans les modèles statistiques.
Communication avec les équipes clientes
Comprendre précisément les problématiques métiers et les traduire de manière analytique.
Communiquer les résultats et les solutions avec les équipes métiers.
Présenter les résultats des analyses grâce à des outils de data visualisation.
Veille technologique sur les outils d’analyse de données
Effectuer une veille sur les nouvelles technologies et solutions logicielles d’analyse des
Votre poste vous amènera à travailler en liaison directe avec les différents services en interne (Technique, Commercial, Direction Générale)
Profil recherché:
Profil recherché :
Vous justifiez d’une expérience réussie de minimum 2 ans idéalement dans le data
Vous possédez de solides compétences en Microsoft Office, surtout l’Excel
Français / Anglais obligatoire – Ecrit et Oral parfait.
Excellent sens du business, et orienté résultats
Être créatif et proactif
Vous connaissez l’univers tech et avez un réel intérêt pour les solutions saas et les fonctionnalités proposées par Ringover
Ce que vous apporte Ringover :
Un environnement de travail ambitieux dans une entreprise en forte croissance
Une équipe dynamique et des moyens pour réussir
Process de recrutement :
Entretien de préqualification par l’équipe RH
Entretien avec notre COO

Nous vous invitons à suivre le profil Linkedin de Ringover ici pour vous tenir au courant de toutes les nouvelles de l'entreprise. Deux clics seulement et vous ferez partie de la communauté Ringover.
Toutes les personnes seront considérées pour un emploi sans tenir compte de toute discrimination (race, couleur, sexe, orientation sexuelle...)
Entreprise:
Ringover Group est éditeur de logiciel SaaS et opérateur téléphonique européen depuis 2005. Sa vision : révolutionner la téléphonie d’entreprise et la transformer en un outil de productivité moderne et agréable à utiliser. De cette idée est née Ringover, une puissante solution de communication 100% Cloud intégrant téléphonie, visioconférence, SMS et messagerie collaborative. La clé : une maîtrise technologique de bout en bout, une interface simple et ergonomique intégrée aux logiciels métiers des entreprises et un pilotage efficace de la performance grâce à des outils statistiques et de supervision.
Scale-up française en hyper-croissance toujours dirigée par ses fondateurs, adoptée par plus de 10 000 clients, Ringover est en passe de devenir LE leader français de la téléphonie Cloud et a amorcé un développement à l’international à grande vitesse en développant des pôles sur l’Espagne et le Royaume-Uni.",https://fr.indeed.com/rc/clk?jk=0e9e065f4bb4ce30&fccid=f843045e8db6a245&vjs=3
CDD 9 mois - Analyste Marketing - data H/F,Groupama Gan Vie,Bordeaux (33),CDD,-,"Au sein de la Direction Individuelles, du pôle Développement Marketing et Animation, nous sommes à la recherche d'un.e Marketing Data Analyst.
Vos missions seront les suivantes:Définir différents outils d'analyse et concevoir des tableaux de bord qui aident la prise de décision et au suivi de la performance commerciale.Traduire et «faire parler» les données des différentes opérations (Campagnes Commerciales, Opérations Télémarketing, etc) pour les transformer en informations opérationnelles sous forme de synthèses, reporting et présentations.
Mettre en perspective les données analysées avec les orientations business globales et/ou spécifiques de l'entreprise et mesurer leur impact stratégique à moyen et long terme : Participer au pilotage de l'activité en détectant les opportunités de croissance et proposer des plans d'action.Définir des indicateurs décisionnels clés permettant de piloter et d'optimiser le cycle de vie du client dans un parcours multicanalPrésenter les données analysées de manière claire, visuelle et pédagogique.
Recueillir et comprendre les besoins métiers propres à chaque projet (ciblage des campagnes marketing, automatisation de process, segmentation des producteurs…)

Profil

Vous justifiez d'une formation supérieure avec une spécialisation en analyse de données marketing.

Vous possédez une première expérience professionnelle similaire acquise de préférence au sein du secteur assurance.
Ecoute, curiosité , organisation, dynamisme, polyvalence seront vos atouts pour réussir.

Impliqué(e), vous savez également vous adapter aux impératifs opérationnels.
Vous cultivez l'esprit d'équipe vous permettent de vous intégrer rapidement.
Excellente maîtrise des outils et du langage informatique, des techniques d'analyses des données et des méthodologies statistiques, A l'aise sur Excel, vous êtes autonome dans les fonctions avancées, macros et langage VBA et idéalement SQL.
Connaissance d'outils de BI et/ou data visualisation SAS, ou encore Qlik Sense

Profil principal

Marketing / Communication - Etude/Veille/Suivi des ventes
Type de contrat

CDD
Durée du contrat

9 mois
Statut conventionnel appliqué/ Classe

CC Echelon intermédiaire/Classe 5
Catégorie emploi

Cadre
Localisation du poste
Localisation du poste à pourvoir

France, Nouvelle-Aquitaine, GIRONDE (33)
Géolocalisation par zone

Non
Ville

Bordeaux
Critères candidat
Niveau d'études min. requis

Bac+5 et plus
Niveau d'expérience min. requis

2 à 5 ans",https://fr.indeed.com/rc/clk?jk=5bacf48e140fb3f5&fccid=001c941b4bd131d5&vjs=3
Data analyst/Data scientist F/H,Talentpeople.net,Meudon (92),CDI,-,"Description de l'entreprise :
TALENTPEOPLE est le leader français du conseil en Talent Acquisition.
Notre client, opérateur de télécommunications français recherche un data scientist/data analyst F/H en CDI.
Description de l'offre :
Au sein du pôle « études statistiques et connaissance client » de la Direction Stratégie, vous rejoignez une équipe de 7 personnes soucieuse d'intégrer un nouveau participant à leur belle aventure liée à des projets stimulants et innovants. A ce titre, vous aurez en charge de :
- mieux accompagner les clients ou le pilotage (churn, cross sell, segmentation, modèle de prévision, ...),
- réaliser des études afin d'orienter les décisions opérationnelles et stratégique de l'entreprise,
- explorer de nouvelles données pour améliorer les différents travaux.
Profile recherché :
• Vous êtes diplômé(e) d'un Master 2 grande école en Data de données, économétrie ou mathématiques appliquées, et vous avez minimum 4 ans d'expérience (hors stages et alternances).
• Vous utilisez les méthodologies statistiques appropriées à vos problématiques et appréciez de les restituer en les rendant accessibles à vos différents interlocuteurs.
• Vous savez assurer de bout en bout la réalisation de vos études et projets (recueil des besoins, cadrage et choix de la méthodologie, construction des bases d'études, réalisation des analyses et modélisations, restitution).
• Enfin, la maîtrise de la plateforme Dataiku, du langage SQL ainsi que Python / Spark et les librairies de machine learning associées est nécessaire.
A vos CV's !",https://fr.indeed.com/rc/clk?jk=6130e09b0a6cd88c&fccid=44ec5fbac93ef0a8&vjs=3
Développeur UX Data Science H/F,Dassault Systèmes,Paris (75),CDI,-,"Imaginez demain…

Au sein de l’organisation NETVIBES, vous rejoignez l’équipe PartSupply Data Experiences. Votre mission sera de participer au développement de la nouvelle UX des data sciences de classification & de standardisation en React sur le cloud de DS.

Poste basé à Paris (8ème), en CDI

Vous avez des rêves plein la tête ? Vous aimez le challenge ? Vous avez la passion d’innover, Dassault Systèmes vous aide à changer le monde ! Grâce aux univers virtuels 3DEXPERIENCE, ouvrons ensemble nos horizons.

#react #cloud

Votre contribution et vos missions

En tant que Développeur UX, vous intégrez une équipe de data scientists expérimentés dans le domaine de la classification et de la standardisation des données et vous aurez pour missions de :

Spécifier un paradigme d'UX commun pour ces 2 domaines et compatible avec la 3DExperience plateforme
Développer les composants en React pour offrir une expérience responsive et intégrée

Vos atouts pour réussir
De formation Bac+5 (Ingénieur ou Universitaire), avec une spécialisation en Informatique
Vous justifiez d’une expérience en UX web, en particulier avec la technologie JS/React
Des connaissances en architecture client/web seront appréciées
Vous démontrez sens de la rigueur dans l’exécution et avez de bonnes capacités de communication pour échanger avec votre équipe et l'ensemble des experts des autres équipes
Vous maîtrisez l'anglais à l’écrit comme à l’oral",https://fr.indeed.com/rc/clk?jk=a19968f8ff7bdad4&fccid=29d37d43c382c8fe&vjs=3
Data Scientist dans une startup,Licorne Society,Paris (75),-,-,"Licorne Society est à la recherche de Data Scientist pour des startups innovantes, ne laisse pas passer ta chance !


C’est quoi Licorne Society ?


Le seul outil qui te met en relation avec plus de 3000 startups recrutant en France, tous secteurs et régions confondues. Qu’elles soient en création, en amorçage, en structuration ou en phase d’hypercroissance, toutes les startups t’attendent sur Licorne Society. Ah oui, et c’est gratuit !

Notre promesse : faire matcher ta recherche avec les meilleures opportunités et mettre en avant ton profil auprès des startups qui recrutent.


>> www.licornesociety.com <<


Du coup comment ça marche ?

En une phrase : 10mn pour le formulaire d’inscription (montre en main) contre ton job dans une startup en route pour le succès.


Plus sérieusement :

1 - Remplis ton profil et tes attentes. Plus ton profil est complet, plus tu augmentes tes chances de recevoir des offres faites pour toi !

2 - Passe en revue les offres que nous te proposons en fonction de tes critères de recherche et reçois une notification à chaque nouvelle offre publiée. Avec notre mode Tinder, tu n’as qu’à swiper les offres. Matcher avec le job de tes rêves n’a jamais été aussi simple !

3 - Pour t’accompagner toujours plus loin dans ta recherche d’opportunités en startup, on te réserve une dernière surprise : faire partie de notre Talent Letter. Le concept est simple, on envoie les plus beaux profils de Data Scientist à nos startups préférées (pour ne citer que BackMarket, PlayPlay, Payfit, Trustpair ou encore Choco) en recherche de nouveaux talents. Du coup, fini les envois de CVs infinis, les recruteurs te contactent directement ! Alors, envie de participer à la prochaine édition ?


Profil recherché :

Tu as une première expérience de Data Scientist et tu es très motivé.e pour rejoindre une start-up / scale-up ou tu es prêt.e à décrocher ton tout premier job

Tes ami.e.s et tes collègues t’ont renommé.e “jeune entrepreneur.e” dans toutes vos discussions

Tu as soif de challenge et de nouveaux apprentissages

Tu es prêt à cliquer sur le lien d’inscription : www.licornesociety.com


On ❤️ chez Licorne Society :

des exemples de prises d’initiatives ou projets menés avec l’esprit entrepreneurial

des expériences dans des environnements particulièrement exigeants

des exemples de réalisations édifiants ou résultats chiffrés


On se dit à tout de suite sur la plateforme ?

>> www.licornesociety.com <<",https://fr.indeed.com/rc/clk?jk=5ea12029f090a692&fccid=ee4296beb506764d&vjs=3
Responsable Data Analyst F/H,Bouygues Telecom,Nantes (44),-,-,"Descriptif du poste:
Au sein de la Direction Financière de Réseau Clubs Bouygues Telecom, filiale retail de Bouygues Telecom, vous serez directement rattaché(e) au DAF et prendrez la responsabilité de l'équipe en charge du suivi et du pilotage de la performance commerciale de nos 520 boutiques.

En tant que Responsable Data Analyst, vous aurez pour principales missions :

Le management et l'animation de votre équipe composée de trois Data Analysts.
La fixation des objectifs commerciaux correspondant aux engagements validés avec la Direction Générale.
La validation de la déclinaison de ces objectifs au sein des équipes commerciales avec une décomposition par canal de vente, zone géographique/région et point de vente.
La mesure des résultats obtenus suivant l'ensemble des axes d'analyse souhaités et la diffusion industrielle des rapports d'activité.
La production du bilan des « challenges/incentives » déployés et la proposition de pistes d'amélioration/ d'optimisation des gestes commerciaux au « fil de l'eau ».
La supervision de l'avancement des plans d'actions afin de suivre l'amélioration des résultats.
La participation aux études spécifiques demandées par le terrain,
L'exploitation optimale des KPIs afin que l'entreprise reste compétitive sur un marché des télécom très dynamique.
La construction de prévisions de vente et analyses de l'impact sur l'activité lié à des phénomènes divers : lancement de nouveaux produits, campagnes marketing, promotions chez la concurrence, incidents SI, covid…

Vous animerez tout au long de l'année le processus de gestion des différentes référence s d'objectif commercial de la filiale (3 forecast + 1 Plan Stratégique à 3 ans par an)

Enfin, vous serez force de proposition auprès du management lors des réunions hebdomadaires/ mensuelles avec la Direction Commerciale, comme lors de réunions trimestrielles/ annuelles avec le Comité de Direction de la filiale.
Profil recherché:
Compétences :

Planification & Organisation.
Maitrise de la suite Microsoft (dont un niveau Excel très élevé), SQL, Tableau.
Bon relationnel, capacité de communication écrite et orale
Capacité à travailler en équipe Leadership afin d'animer un comité de Direction.
Première expérience managériale réussie.
Entreprise:
Les technologies évoluent, les besoins de nos clients aussi. C'est en restant constamment à leur écoute, au plus près de leurs attentes et préoccupations, que nous pouvons répondre au mieux à leurs besoins, pour aujourd'hui et demain. En boutique, nos équipes mettent tout en œuvre pour offrir la meilleure expérience numérique à nos clients. Réseau Clubs Bouygues Telecom (RCBT), filiale de distribution de Bouygues Telecom est à la recherche de nouveaux talents !",https://fr.indeed.com/rc/clk?jk=eee3f9e3324f65f6&fccid=f843045e8db6a245&vjs=3
